AverageTemperature,City,Country,Month,Year
24.008,2,Mexico,3,1843
26.793,2,Mexico,8,1845
25.804,2,Mexico,10,1846
26.763,2,Mexico,12,1846
26.05,2,Mexico,1,1849
24.535,2,Mexico,2,1849
25.167,2,Mexico,3,1849
23.92,2,Mexico,4,1849
25.174,2,Mexico,5,1849
27.128,2,Mexico,6,1849
27.706,2,Mexico,7,1849
27.537,2,Mexico,8,1849
26.565,2,Mexico,9,1849
26.073,2,Mexico,10,1849
26.993,2,Mexico,11,1849
25.193,2,Mexico,12,1849
26.106,2,Mexico,1,1850
25.635,2,Mexico,2,1850
24.776,2,Mexico,3,1850
24.33,2,Mexico,4,1850
24.201,2,Mexico,5,1850
26.773,2,Mexico,6,1850
27.771,2,Mexico,7,1850
27.625,2,Mexico,8,1850
26.797,2,Mexico,9,1850
26.316,2,Mexico,10,1850
25.796,2,Mexico,11,1850
24.262,2,Mexico,12,1850
25.296,2,Mexico,1,1851
23.974,2,Mexico,2,1851
23.677,2,Mexico,3,1851
24.349,2,Mexico,4,1851
26.33,2,Mexico,5,1851
27.467,2,Mexico,6,1851
27.163,2,Mexico,7,1851
27.416,2,Mexico,8,1851
26.277,2,Mexico,9,1851
26.591,2,Mexico,10,1851
25.243,2,Mexico,11,1851
25.528,2,Mexico,12,1851
23.464,2,Mexico,1,1852
25.581,2,Mexico,2,1852
23.836,2,Mexico,3,1852
24.621,2,Mexico,4,1852
26.412,2,Mexico,5,1852
26.929,2,Mexico,6,1852
27.301,2,Mexico,7,1852
27.26,2,Mexico,8,1852
26.425,2,Mexico,9,1852
26.15,2,Mexico,10,1852
26.144,2,Mexico,11,1852
26.575,2,Mexico,12,1852
23.741,2,Mexico,1,1853
22.949,2,Mexico,2,1853
22.914,2,Mexico,3,1853
24.062,2,Mexico,4,1853
25.987,2,Mexico,5,1853
26.511,2,Mexico,6,1853
27.963,2,Mexico,7,1853
26.843,2,Mexico,8,1853
26.291,2,Mexico,9,1853
25.942,2,Mexico,10,1853
26.246,2,Mexico,11,1853
25.529,2,Mexico,12,1853
23.859,2,Mexico,1,1854
23.116,2,Mexico,2,1854
24.708,2,Mexico,3,1854
23.899,2,Mexico,4,1854
25.896,2,Mexico,5,1854
26.553,2,Mexico,6,1854
26.422,2,Mexico,7,1854
26.306,2,Mexico,8,1854
26.003,2,Mexico,9,1854
26.983,2,Mexico,10,1854
25.995,2,Mexico,11,1854
24.147,2,Mexico,12,1854
25.252,2,Mexico,1,1855
23.404,2,Mexico,2,1855
22.99,2,Mexico,3,1855
24.521,2,Mexico,4,1855
26.881,2,Mexico,5,1855
26.875,2,Mexico,6,1855
26.112,2,Mexico,7,1855
26.133,2,Mexico,8,1855
25.407,2,Mexico,9,1855
25.149,2,Mexico,10,1855
25.903,2,Mexico,11,1855
24.875,2,Mexico,12,1855
22.9,2,Mexico,1,1856
23.171,2,Mexico,2,1856
23.403,2,Mexico,3,1856
24.499,2,Mexico,4,1856
25.529,2,Mexico,5,1856
27.622,2,Mexico,6,1856
27.031,2,Mexico,7,1856
27.774,2,Mexico,8,1856
